Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
"Yanjindulam, Dulamsuren",MGL,F,1988.0,WIM,2127,2149.0,2150.0,wi
"Amina, Battsooj",MGL,F,2001.0,FM,2126,1655.0,1745.0,wi
"Asgarizadeh, Minoo",IRI,F,1994.0,WFM,2125,2076.0,2048.0,wi
"Mendez Alfaro, Yaquelin Yenia",FID,F,1980.0,WFM,2125,2112.0,2121.0,wi
"Mylnikova, Olga",RUS,F,2000.0,WFM,2125,2056.0,2019.0,wi
"Bayarmaa, Bayarjargal",MGL,F,1995.0,WIM,2124,2076.0,2026.0,wi
"Figura, Ludmila",RUS,F,1988.0,WFM,2124,2073.0,2139.0,wi
"Kolganova, Natalia",RUS,F,1984.0,WFM,2122,2035.0,2059.0,wi
"Andreeva, Olga",RUS,F,1964.0,WFM,2121,1767.0,1962.0,wi
"Ciobanu, Camelia-Adriana",ROU,F,1985.0,WIM,2121,2174.0,2215.0,wi
"Mouradian, Knarik",LBN,F,1983.0,WIM,2121,2148.0,2090.0,wi
"Wisniowska, Klaudia",POL,F,1995.0,WFM,2121,2050.0,2061.0,wi
"Kozina, Anastasia",RUS,F,2001.0,WFM,2117,2043.0,1993.0,wi
"Avdeeva, Veronika",RUS,F,1988.0,WFM,2116,2131.0,2025.0,wi
"Chkhan, Viktoria",RUS,F,1994.0,WFM,2115,2091.0,2111.0,wi
"Savant, Riya",IND,F,2000.0,WFM,2115,1827.0,1905.0,wi
"Ochneva, Inga",RUS,F,1998.0,WFM,2114,1828.0,1852.0,wi
"Pershina, Elena",RUS,F,1991.0,WFM,2114,2025.0,2085.0,wi
"Shamima, Akter",BAN,F,1989.0,WIM,2114,2086.0,2008.0,wi
"Emelianova, Maria",ENG,F,1987.0,WFM,2113,2079.0,2102.0,wi
"Yanuchenko, Polina",RUS,F,2001.0,WFM,2113,2001.0,1849.0,wi
"Korchagina, Viktoria",RUS,F,1992.0,WFM,2112,2036.0,2014.0,wi
"Kusluvan, Yekaterina",KAZ,F,1994.0,WFM,2112,2074.0,1952.0,wi
"Sanchez Castillo, Sarai Carolina",VEN,F,1981.0,IM,2112,2087.0,1989.0,wi
"Marinello, Beatriz",USA,F,1964.0,WIM,2111,2109.0,2123.0,wi
"Polak, Kinga",POL,F,1993.0,WFM,2111,1974.0,2075.0,wi
"Odnorozhenko, Kateryna",UKR,F,1986.0,WIM,2110,2082.0,2076.0,wi
"Adamowicz, Katarzyna",POL,F,1993.0,WFM,2104,2094.0,2044.0,wi
"Deur Saric, Zrinka",CRO,F,1991.0,WFM,2104,2158.0,2113.0,wi
"Korytina, Natalia",KAZ,F,1989.0,WFM,2104,1981.0,2010.0,wi
"Verko, Tatiana",KAZ,F,1979.0,WFM,2104,1952.0,2069.0,wi
"Zaichenko, Daria",RUS,F,1991.0,WFM,2104,1947.0,2039.0,wi
"Arutyunova, Asya",RUS,F,1999.0,WFM,2103,1951.0,1968.0,wi
"Leite Oralova, Catarina",POR,F,1983.0,WIM,2103,2120.0,2038.0,wi
"Zadorina, Nadezhda",RUS,F,1960.0,WFM,2103,1937.0,2067.0,wi
"Batrak, Alexandra",RUS,F,1998.0,WFM,2102,1988.0,2043.0,wi
"Korchenkova, Irina",RUS,F,1991.0,WFM,2102,2070.0,2124.0,wi
"Kostak, Tatiana",UKR,F,1971.0,WFM,2102,1981.0,2089.0,wi
"Abuladze, Lana",RUS,F,1993.0,WFM,2101,2061.0,2076.0,wi
"Kuchava, Ana",GEO,F,1995.0,WFM,2101,2006.0,1955.0,wi
"Sarakauskiene, Zivile",ENG,F,1978.0,WIM,2101,2116.0,1929.0,wi
Jishitha D,IND,F,2003.0,WFM,2100,1725.0,1833.0,wi
"Motsar, Irina",UKR,F,1985.0,WFM,2099,2110.0,2064.0,wi
"Paolillo, Gaia",ITA,F,1998.0,WFM,2099,2065.0,2025.0,wi
"Rozhko, Mariya",RUS,F,1980.0,WFM,2099,1916.0,1830.0,wi
"Kosteniuk, Oksana",RUS,F,1987.0,WFM,2096,2006.0,1927.0,wi
"Zaryvkina, Anastasia",RUS,F,1993.0,WFM,2096,2113.0,2086.0,wi
"Drogovoz, Maria",RUS,F,1998.0,WFM,2095,1946.0,1909.0,wi
Ei Kyawt San,MYA,F,1985.0,WFM,2095,2077.0,2008.0,wi
"Ikonomopoulou, Maria",GRE,F,1989.0,WFM,2095,2105.0,2060.0,wi
